url,status,first_seen,last_seen,last_price,last_price_date,sold_date,year,make,model,variant,body_type,odometer,transmission,rego,fuel_type,location
car/14859673/toyota/kluger/vic/mentone/suv,active,2026-01-25T15:33:31,2026-02-27T23:28:58,49990.0,2026-01-30T01:30:27,,2022,Toyota,Kluger,Gx Hybrid Awd,Wagon,49281,Automatic,,Hybrid,VIC
car/14922771/toyota/echo/vic/footscray/hatchback,active,2026-01-25T15:33:31,2026-02-27T23:28:58,5650.0,2026-02-24T21:06:29,,2003,Toyota,Echo,,Hatchback,128732,Manual,,Unleaded,VIC
car/14928869/toyota/camry/vic/tottenham/sedan,sold,2026-01-25T15:33:31,2026-02-24T21:06:29,39388.0,2026-02-24T21:06:29,2026-02-25T22:27:40,2024,Toyota,Camry,Ascent,Sedan,52256.0,Automatic,,Premium,VIC
car/14923170/toyota/yaris/vic/braybrook/hatchback,active,2026-01-25T15:33:31,2026-02-27T23:28:58,6388.0,2026-02-17T21:58:10,,2008,Toyota,Yaris,Yrs,Hatchback,202685,Manual,2026-10-15,Unleaded,VIC
car/14921616/toyota/corolla/vic/preston/hatchback,active,2026-01-25T15:33:31,2026-02-27T23:28:58,9500.0,2026-01-25T15:33:31,,2010,Toyota,Corolla,Ascent,Hatchback,212298,Automatic,2026-10-29,Unleaded,VIC
car/14927357/toyota/rav4/vic/braybrook/suv,sold,2026-01-25T15:33:31,2026-02-17T01:40:36,11988.0,2026-01-25T15:33:31,2026-02-17T21:58:10,2009,Toyota,RAV4,Cruiser L (4X4),Wagon,146553.0,Automatic,2026-02-06,Unleaded,VIC
car/14928949/toyota/corolla/vic/south-melbourne/hatchback,sold,2026-01-25T15:33:31,2026-01-30T01:30:27,30880.0,2026-01-25T15:33:31,2026-01-30T17:02:17,2023,Toyota,Corolla,Ascent Sport Hybrid,Hatchback,53578.0,Automatic,,Hybrid,VIC
car/14928870/toyota/corolla/vic/tottenham/hatchback,sold,2026-01-25T15:33:31,2026-01-25T18:47:02,28888.0,2026-01-25T15:33:31,2026-01-28T04:26:19,2022,Toyota,Corolla,Ascent Sport Hybrid,Hatchback,38583.0,Automatic,2026-05-23,Hybrid,VIC
car/14925536/toyota/camry/vic/braybrook/sedan,active,2026-01-25T15:33:31,2026-02-27T23:28:58,5999.0,2026-01-25T15:33:31,,2001,Toyota,Camry,Conquest,Sedan,199897,Automatic,2026-02-14,Unleaded,VIC
car/14923726/toyota/corolla/vic/maidstone/limousine,active,2026-01-25T15:33:31,2026-02-27T23:28:58,19995.0,2026-01-28T04:26:19,,2020,Toyota,Corolla,HYBRID EX,Sedan,89972,Automatic,,Hybrid,VIC
