year,make,model,variant,body_type,odometer,transmission,rego,price,fuel_type,location,url,scrape_date,canonical_tag,canonical_reason
2014,Kia,Grand Carnival,Si,Wagon,178955,Automatic,2026-04-15,11449,Unleaded,VIC,car/14937196/kia/grand-carnival/vic/mordialloc/people-mover,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2013,Holden,Barina Spark,Cd,Hatchback,89858,Manual,,6489,Unleaded,VIC,car/14898399/holden/barina-spark/vic/maidstone/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2011,Mercedes-Benz,C200,Elegance Be,Sedan,143144,Automatic,2026-10-20,8990,Premium,VIC,car/14919591/mercedes-benz/c200/vic/coburg-north/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2017,Mazda,3,Sp25 Gt,Hatchback,114774,Automatic,,20588,Unleaded,VIC,car/14922590/mazda/3/vic/oakleigh/hatchback,2026-03-03T02:37:45,UNCLASSIFIED,[DISALLOWED_VARIANT]
2015,Ford,Territory,Ts (Rwd),Wagon,197200,Automatic,2026-02-01,10990,Unleaded,VIC,car/14951929/ford/territory/vic/coburg-north/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2007,Holden,Commodore,Omega,Utility,210000,Automatic,,6499,Unleaded,VIC,car/14969290/holden/commodore/vic/northcote/single-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2014,Nissan,Navara,St Titanium Edition (4X4),Dual Cab Pick-up,158974,Manual,,18999,Diesel,VIC,car/14933242/nissan/navara/vic/laverton-north/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2008,Toyota,Landcruiser,Vx (4X4),Wagon,334392,Automatic,2026-12-18,37990,Diesel,VIC,car/14929361/toyota/landcruiser/vic/west-footscray/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2015,BMW,330I,M Sport,Sedan,107102,Automatic,2026-03-31,21990,Premium,VIC,car/14968088/bmw/330i/vic/coburg-north/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2020,Genesis,GV80,3.0D Awd,Wagon,104944,Automatic,2026-06-14,62880,Diesel,VIC,car/14868728/genesis/gv80/vic/essendon-fields/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2005,Mazda,3,Sp23,Sedan,256508,Automatic,2026-05-16,4990,Unleaded,VIC,car/14969395/mazda/3/vic/west-footscray/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2016,Jeep,Cherokee,Limited (4X4),Wagon,164000,Automatic,2026-04-05,9990,Diesel,VIC,car/14973218/jeep/cherokee/vic/williamstown/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2023,Toyota,Landcruiser Prado,Kakadu,Wagon,40123,Automatic,2026-06-25,92990,Diesel,VIC,car/14871431/toyota/landcruiser-prado/vic/south-melbourne/suv,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2010,BMW,120I,,Convertible,197915,Automatic,2026-04-24,7990,Premium,VIC,car/14955423/bmw/120i/vic/williamstown-north/convertible,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2017,Volkswagen,Amarok,Tdi400 Core Plus (4X4),Dual Cab Utility,242000,Manual,2026-03-13,12990,Diesel,VIC,car/14939826/volkswagen/amarok/vic/williamstown-north/dual-cab,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2014,Mercedes-Benz,CLA45,Amg,Coupe,128000,Automatic,2026-10-06,28990,Premium,VIC,car/14915805/mercedes-benz/cla45/vic/williamstown-north/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2004,Holden,Calais,,Sedan,156303,Automatic,2024-06-23,19990,Unleaded,VIC,car/14956136/holden/calais/vic/maidstone/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2010,Subaru,Impreza,Wrx (Awd),Sedan,279000,Manual,,9990,Premium,VIC,car/14978770/subaru/impreza/vic/footscray/sedan,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2007,Lexus,LS,LS600HL,Sedan,76627,Automatic,,19995,Unleaded,VIC,car/14881932/lexus/ls/vic/maidstone/limousine,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
2009,Holden,Commodore,Omega,Sportswagon,211000,Automatic,2026-05-27,6990,Unleaded,VIC,car/14978970/holden/commodore/vic/williamstown/wagon,2026-03-03T02:37:45,UNCLASSIFIED,[OUT_OF_SCOPE]
