year,make,model,variant,body_type,odometer,transmission,rego,price,fuel_type,location,url,scrape_date,canonical_tag,canonical_reason,status,first_seen,last_seen,last_price,last_price_date,sold_date,source,make_norm,model_norm,variant_norm,transmission_norm,fuel_norm,body_norm,year_int,price_value,odometer_value
2020,Toyota,RAV4,Gx Awd Hybrid,Wagon,58428.0,Automatic,,38999.0,Hybrid,VIC,car/14784463/toyota/rav4/vic/oakleigh/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,rav4,gx awd hybrid,automatic,hybrid,wagon,2020,38999.0,58428.0
2019,Toyota,HiAce,,Commercial,143760.0,Automatic,,27300.0,Unleaded,VIC,car/14901550/toyota/hiace/vic/st-kilda/van,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,hiace,,automatic,unleaded,commercial,2019,27300.0,143760.0
2018,Toyota,C-HR,(HYBRID) -S,SUV,87824.0,Automatic,,24900.0,Hybrid,VIC,car/14826274/toyota/c-hr/vic/st-kilda/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,c hr,hybrid s,automatic,hybrid,suv,2018,24900.0,87824.0
2012,Toyota,Camry,Hybrid H,Sedan,170000.0,Automatic,2026-01-29,15990.0,Hybrid,VIC,car/14817997/toyota/camry/vic/nunawading/sedan,2026-01-25T15:12:25,UNCLASSIFIED,[AMBIG_BADGE],,,,,,,,toyota,camry,hybrid h,automatic,hybrid,sedan,2012,15990.0,170000.0
2018,Toyota,RAV4,Gxl (4X4),Wagon,121500.0,Automatic,2026-06-22,24888.0,Unleaded,VIC,car/14837779/toyota/rav4/vic/south-melbourne/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,rav4,gxl 4x4,automatic,unleaded,wagon,2018,24888.0,121500.0
2015,Toyota,HiAce,DX KDH20-S,Commercial,105339.0,Automatic,,25990.0,Diesel,VIC,car/14888000/toyota/hiace/vic/st-kilda/van,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,hiace,dx kdh20 s,automatic,diesel,commercial,2015,25990.0,105339.0
2008,Toyota,Aurion,Prodigy,Sedan,164749.0,Automatic,2026-06-04,9490.0,Unleaded,VIC,car/14828009/toyota/aurion/vic/oakleigh-south/sedan,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,aurion,prodigy,automatic,unleaded,sedan,2008,9490.0,164749.0
2020,Toyota,Corolla,TOURING (HYBRID) -S,SUV,86322.0,Automatic,,20500.0,Hybrid,VIC,car/14826293/toyota/corolla/vic/st-kilda/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,corolla,touring hybrid s,automatic,hybrid,suv,2020,20500.0,86322.0
2018,Toyota,Vitz,F (Hybrid),Hatchback,97191.0,,2025-11-30,14990.0,,VIC,car/14898028/toyota/vitz/vic/maidstone/hatchback,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,vitz,f hybrid,,,hatchback,2018,14990.0,97191.0
2020,Toyota,Corolla,HYBRID EX,SUV,120260.0,Automatic,,16995.0,Unleaded,VIC,car/14887295/toyota/corolla/vic/maidstone/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,corolla,hybrid ex,automatic,unleaded,suv,2020,16995.0,120260.0
2010,Toyota,RAV4,Cruiser (4X4),Wagon,322980.0,Automatic,2026-01-29,7688.0,Unleaded,VIC,car/14810821/toyota/rav4/vic/alphington/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,rav4,cruiser 4x4,automatic,unleaded,wagon,2010,7688.0,322980.0
2010,Toyota,Corolla,Ascent,Hatchback,266735.0,Automatic,2026-02-15,7990.0,Unleaded,VIC,car/14891390/toyota/corolla/vic/maidstone/hatchback,2026-01-25T15:12:25,toyota_corolla_ascent_petrol_auto_hatch_zre18x,[OK],,,,,,,,toyota,corolla,ascent,automatic,unleaded,hatchback,2010,7990.0,266735.0
2023,Toyota,Landcruiser Prado,Kakadu,Wagon,40123.0,Automatic,2026-03-25,93990.0,Diesel,VIC,car/14871431/toyota/landcruiser-prado/vic/south-melbourne/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,landcruiser prado,kakadu,automatic,diesel,wagon,2023,93990.0,40123.0
2008,Toyota,Yaris,Yrs,Sedan,218959.0,Automatic,2026-09-13,6990.0,Unleaded,VIC,car/14902582/toyota/yaris/vic/maidstone/sedan,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,yaris,yrs,automatic,unleaded,sedan,2008,6990.0,218959.0
2011,Toyota,Kluger,Kx-S (4X4),Wagon,115360.0,Automatic,2026-03-25,19888.0,Unleaded,VIC,car/14800927/toyota/kluger/vic/alphington/suv,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,kluger,kx s 4x4,automatic,unleaded,wagon,2011,19888.0,115360.0
2012,Toyota,Aurion,Presara,Sedan,235440.0,Automatic,2026-02-14,11990.0,Unleaded,VIC,car/14907928/toyota/aurion/vic/maidstone/sedan,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,aurion,presara,automatic,unleaded,sedan,2012,11990.0,235440.0
2022,Toyota,Corolla,Ascent Sport Hybrid,Sedan,156939.0,Automatic,,23990.0,Hybrid,VIC,car/14819802/toyota/corolla/vic/maidstone/sedan,2026-01-25T15:12:25,UNCLASSIFIED,[OUT_OF_SCOPE],,,,,,,,toyota,corolla,ascent sport hybrid,automatic,hybrid,sedan,2022,23990.0,156939.0
