event_date,event,url,price,previous_price,price_change,year,make,model,variant,body_type,odometer,transmission,rego,fuel_type,location
2026-01-25T15:33:31,listed,car/14916903/toyota/corolla/vic/northcote/wagon,5499.0,,,2005,Toyota,Corolla,Ascent,Wagon,219000,Automatic,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14809262/toyota/landcruiser/vic/keysborough/suv,119970.0,,,2021,Toyota,Landcruiser,Lc300 Sahara (4X4),Wagon,55667,Automatic,2025-12-01,Diesel,VIC
2026-01-25T15:33:31,listed,car/14770881/toyota/yaris-cross/vic/west-footscray/suv,23999.0,,,2022,Toyota,Yaris Cross,Urban,Wagon,87500,Automatic,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14829530/toyota/landcruiser/vic/elsternwick/suv,124990.0,,,2020,Toyota,Landcruiser,Lc200 Sahara (4X4),Wagon,74681,Automatic,,Diesel,VIC
2026-01-25T15:33:31,listed,car/14888334/toyota/landcruiser-prado/vic/elsternwick/suv,71990.0,,,2019,Toyota,Landcruiser Prado,Vx (4X4),Wagon,46186,Automatic,,Diesel,VIC
2026-01-25T15:33:31,listed,car/14909030/toyota/rav4/vic/melbourne/suv,22990.0,,,2013,Toyota,RAV4,GXL,SUV,86221,,2026-04-18,Other,VIC
2026-01-25T15:33:31,listed,car/14889336/toyota/hilux/vic/maidstone/dual-cab,18880.0,,,2011,Toyota,Hilux,Sr (4X4),Dual Cab Pick-up,238598,Manual,2026-02-16,Diesel,VIC
2026-01-25T15:33:31,listed,car/14828499/toyota/crown/vic/maidstone/limousine,34995.0,,,2020,Toyota,Crown,N/A,Sedan,109831,Automatic,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14841106/toyota/hiace/vic/maidstone/people-mover,32990.0,,,2013,Toyota,HiAce,Commuter,Bus,140600,Automatic,2026-06-01,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14817406/toyota/rav4/vic/south-melbourne/suv,44990.0,,,2020,Toyota,RAV4,Edge Awd,Wagon,27976,Automatic,2026-05-25,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14915378/toyota/kluger/vic/melbourne/suv,56990.0,,,2024,Toyota,Kluger,GX,SUV,12,Automatic,2026-04-30,Other,VIC
2026-01-25T15:33:31,listed,car/14886211/toyota/camry/vic/braybrook/sedan,9999.0,,,2009,Toyota,Camry,Altise,Sedan,159987,Automatic,2026-07-30,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14908375/toyota/hilux/vic/officer/dual-cab,44975.0,,,2022,Toyota,Hilux,Sr (4X4),Double Cab Chassis,106978,Automatic,,Diesel,VIC
2026-01-25T15:33:31,listed,car/14910638/toyota/corolla/vic/maidstone/limousine,23495.0,,,2020,Toyota,Corolla,HYBRID GX,Sedan,107554,Automatic,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14842923/toyota/prius/vic/st-kilda/hatchback,19499.0,,,2020,Toyota,Prius,-S,Hatch,158314,Automatic,,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14838101/toyota/corolla/vic/oakleigh/sedan,28888.0,,,2021,Toyota,Corolla,Ascent Sport Hybrid,Sedan,57576,Automatic,,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14769061/toyota/hilux/vic/braybrook/dual-cab,13988.0,,,2010,Toyota,Hilux,Workmate,Dual Cab Pick-up,160439,Manual,2026-04-17,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14803455/toyota/yaris-cross/vic/maidstone/suv,24990.0,,,2020,Toyota,Yaris Cross,Gx,Wagon,76404,Automatic,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14842818/toyota/camry/vic/ringwood/sedan,14000.0,,,2014,Toyota,Camry,Altise,Sedan,151900,Automatic,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14899922/toyota/rav4/vic/elsternwick/suv,46950.0,,,2025,Toyota,RAV4,Gx (2Wd) Hybrid,Wagon,30890,Automatic,,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14916684/toyota/kluger/vic/maidstone/suv,12500.0,,,2012,Toyota,Kluger,Grande (Fwd),Wagon,270483,Automatic,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14894813/toyota/corolla/vic/keysborough/hatchback,25970.0,,,2019,Toyota,Corolla,Ascent Sport,Hatchback,39149,Automatic,2026-07-31,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14870537/toyota/hiace/vic/braybrook/van,12988.0,,,2014,Toyota,HiAce,Lwb,Van,577848,Manual,2026-08-25,Diesel,VIC
2026-01-25T15:33:31,listed,car/14810520/toyota/yaris/vic/elsternwick/sedan,11777.0,,,2008,Toyota,Yaris,Yrs,Sedan,105744,Automatic,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14843912/toyota/hilux/vic/keysborough/dual-cab,66970.0,,,2025,Toyota,Hilux,Sr5 48V (4X4),Double Cab Pick Up,2914,Automatic,2026-09-01,Hybrid,VIC
2026-01-25T15:33:31,listed,car/14791212/toyota/corolla/vic/maidstone/suv,18995.0,,,2020,Toyota,Corolla,N/A,SUV,81396,Automatic,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14808010/toyota/kluger/vic/west-footscray/suv,19990.0,,,2011,Toyota,Kluger,Grande (4X4),Wagon,182917,Automatic,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14918774/toyota/alphard/vic/clayton-south/suv,23990.0,,,2012,Toyota,Alphard,ANH20 8 SEATER,SUV,62092,Automatic,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14864846/toyota/kluger/vic/south-melbourne/suv,37990.0,,,2018,Toyota,Kluger,Gxl (4X2),Wagon,76301,Automatic,,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14885067/toyota/tundra/vic/elsternwick/othercar,148990.0,,,2024,Toyota,Tundra,,OtherCar,11121,Automatic,,Other,VIC
2026-01-25T15:33:31,listed,car/14900984/toyota/hilux/vic/melbourne/dual-cab,79490.0,,,2023,Toyota,Hilux,Gr-Sport (4X4),Double Cab Pick Up,15452,Automatic,2026-09-28,Diesel,VIC
2026-01-25T15:33:31,listed,car/14809745/toyota/corolla/vic/maidstone/sedan,10990.0,,,2010,Toyota,Corolla,Ascent,Sedan,148345,Automatic,2026-04-09,Unleaded,VIC
2026-01-25T15:33:31,listed,car/14848631/toyota/landcruiser/vic/elsternwick/suv,116777.0,,,2020,Toyota,Landcruiser,Lc200 Sahara (4X4),Wagon,112434,Automatic,,Diesel,VIC
2026-01-25T15:33:31,listed,car/14841932/toyota/fortuner/vic/tottenham/suv,57888.0,,,2023,Toyota,Fortuner,Gxl,Wagon,48805,Automatic,,Diesel,VIC
