year,make,model,variant,body_type,odometer,transmission,rego,price,fuel_type,location,url,scrape_date,canonical_tag,canonical_reason
2007,Toyota,Yaris,Yr,Hatchback,167480,Manual,,7333,Unleaded,VIC,car/14807423/toyota/yaris/vic/oakleigh/hatchback,2026-01-25T15:12:25,,
2003,Toyota,RAV4,Cruiser (4X4),Wagon,334754,Automatic,2026-03-27,7688,Unleaded,VIC,car/14780371/toyota/rav4/vic/braybrook/suv,2026-01-25T15:12:25,,
2017,Toyota,Hilux,Sr (4X4),Dual Cab Utility,60981,Automatic,,41990,Diesel,VIC,car/14767326/toyota/hilux/vic/preston/dual-cab,2026-01-25T15:12:25,,
2018,Toyota,Hilux,Sr5 (4X4),Double Cab Pick Up,144080,Automatic,2026-03-24,45990,Diesel,VIC,car/14814737/toyota/hilux/vic/tullamarine/dual-cab,2026-01-25T15:12:25,,
2020,Toyota,Corolla,Zr,Hatchback,81988,Automatic,2026-11-28,26990,Unleaded,VIC,car/14859114/toyota/corolla/vic/coburg-north/hatchback,2026-01-25T15:12:25,,
2005,Toyota,Corolla,Ascent,Wagon,219000,Automatic,,5499,Unleaded,VIC,car/14916903/toyota/corolla/vic/northcote/wagon,2026-01-25T15:12:25,,
2021,Toyota,Landcruiser,Lc300 Sahara (4X4),Wagon,55667,Automatic,2025-12-01,119970,Diesel,VIC,car/14809262/toyota/landcruiser/vic/keysborough/suv,2026-01-25T15:12:25,,
2022,Toyota,Yaris Cross,Urban,Wagon,87500,Automatic,,23999,Unleaded,VIC,car/14770881/toyota/yaris-cross/vic/west-footscray/suv,2026-01-25T15:12:25,,
2020,Toyota,Landcruiser,Lc200 Sahara (4X4),Wagon,74681,Automatic,,124990,Diesel,VIC,car/14829530/toyota/landcruiser/vic/elsternwick/suv,2026-01-25T15:12:25,,
2019,Toyota,Landcruiser Prado,Vx (4X4),Wagon,46186,Automatic,,71990,Diesel,VIC,car/14888334/toyota/landcruiser-prado/vic/elsternwick/suv,2026-01-25T15:12:25,,
2013,Toyota,RAV4,GXL,SUV,86221,,2026-04-18,22990,Other,VIC,car/14909030/toyota/rav4/vic/melbourne/suv,2026-01-25T15:12:25,,
2011,Toyota,Hilux,Sr (4X4),Dual Cab Pick-up,238598,Manual,2026-02-16,18880,Diesel,VIC,car/14889336/toyota/hilux/vic/maidstone/dual-cab,2026-01-25T15:12:25,,
2020,Toyota,Crown,,Sedan,109831,Automatic,,34995,Unleaded,VIC,car/14828499/toyota/crown/vic/maidstone/limousine,2026-01-25T15:12:25,,
2013,Toyota,HiAce,Commuter,Bus,140600,Automatic,2026-06-01,32990,Unleaded,VIC,car/14841106/toyota/hiace/vic/maidstone/people-mover,2026-01-25T15:12:25,,
2020,Toyota,RAV4,Edge Awd,Wagon,27976,Automatic,2026-05-25,44990,Unleaded,VIC,car/14817406/toyota/rav4/vic/south-melbourne/suv,2026-01-25T15:12:25,,
2024,Toyota,Kluger,GX,SUV,12,Automatic,2026-04-30,56990,Other,VIC,car/14915378/toyota/kluger/vic/melbourne/suv,2026-01-25T15:12:25,,
2009,Toyota,Camry,Altise,Sedan,159987,Automatic,2026-07-30,9999,Unleaded,VIC,car/14886211/toyota/camry/vic/braybrook/sedan,2026-01-25T15:12:25,,
2022,Toyota,Hilux,Sr (4X4),Double Cab Chassis,106978,Automatic,,44975,Diesel,VIC,car/14908375/toyota/hilux/vic/officer/dual-cab,2026-01-25T15:12:25,,
2020,Toyota,Corolla,HYBRID GX,Sedan,107554,Automatic,,23495,Unleaded,VIC,car/14910638/toyota/corolla/vic/maidstone/limousine,2026-01-25T15:12:25,,
2020,Toyota,Prius,-S,Hatch,158314,Automatic,,19499,Hybrid,VIC,car/14842923/toyota/prius/vic/st-kilda/hatchback,2026-01-25T15:12:25,,
2021,Toyota,Corolla,Ascent Sport Hybrid,Sedan,57576,Automatic,,28888,Hybrid,VIC,car/14838101/toyota/corolla/vic/oakleigh/sedan,2026-01-25T15:12:25,,
2010,Toyota,Hilux,Workmate,Dual Cab Pick-up,160439,Manual,2026-04-17,13988,Unleaded,VIC,car/14769061/toyota/hilux/vic/braybrook/dual-cab,2026-01-25T15:12:25,,
2020,Toyota,Yaris Cross,Gx,Wagon,76404,Automatic,,24990,Unleaded,VIC,car/14803455/toyota/yaris-cross/vic/maidstone/suv,2026-01-25T15:12:25,,
2014,Toyota,Camry,Altise,Sedan,151900,Automatic,,14000,Unleaded,VIC,car/14842818/toyota/camry/vic/ringwood/sedan,2026-01-25T15:12:25,,
