year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold
2014,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,132155,5.0,KMHD251EMEU213552,1HM5OO,15-01-2026,4,1.8,Red,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21047886/motor-vehicles-motor-cycles/2014-hyundai-i30-active-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
paint fading on the roof
paint peeling front and rear bumper",68,7200,2025-04-29
2013,HYUNDAI,I30,premium gd,Hatchback,Automatic,Petrol,246300,5.0,KMHD351EMDU087587,1IOK860,09-07-2025,4,1.8,Silver,Black Leather,Yes,Yes,Yes,Yes,Yes,wa,https://www.grays.com/lot/0001-9059200/motor-vehicles-motor-cycles/2013-hyundai-i30-premium-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
airbag light on
front seat scratches passenger front seat cut",74,5210,2025-05-06
2012,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,184272,5.0,KMHD251EMDU033460,No Plates,Unregistered,4,1.8,Silver,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21048188/motor-vehicles-motor-cycles/2012-hyundai-i30-active-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
paint fading various locations
engine noise observed.",25,4400,2025-05-07
2013,HYUNDAI,I30,trophy gd,Hatchback,Automatic,Petrol,191529,5.0,KMHD351EMEU161151,BAZ412,01-11-2025,4,1.8,White,Black Leather,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21048255/motor-vehicles-motor-cycles/2013-hyundai-i30-trophy-gd-automatic-hatchback,dents or marks on body consistent with age and kilometres.,23,7100,2025-05-07
2017,HYUNDAI,I30,active pd,Hatchback,Automatic,Petrol,128089,5.0,KMHH351EMJU012217,1KG6QJ,06-06-2025,4,2,Red,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21048257/motor-vehicles-motor-cycles/2017-hyundai-i30-active-pd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
windscreen chipped or cracked.",62,12700,2025-05-07
2013,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,172759,5.0,KMHD251EMDU080346,No plates,Unregistered,4,1.8,Blue,Grey,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21048203/motor-vehicles-motor-cycles/2013-hyundai-i30-active-gd-automatic-hatchback,dents or marks on body consistent with age and kilometres.,2,6100,2025-05-08
2013,HYUNDAI,I30,elite gd,Hatchback,Automatic,Petrol,201081,5.0,KMHD351EMDU100354,ZTK336,28-05-2025,4,1.8,Dark Blue,Black,Yes,Yes,No,No,Yes,vic,https://www.grays.com/lot/0001-21048360/motor-vehicles-motor-cycles/2013-hyundai-i30-elite-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
engine noise observed.
large scratch on various parts of panel",12,3900,2025-05-08
2012,HYUNDAI,I30,elite gd,Hatchback,Automatic,Petrol,151209,5.0,KMHD351EMDU008165,ZDR889,26-06-2025,4,1.8,White,Black,Yes,No,No,No,Yes,vic,https://www.grays.com/lot/0001-21048336/motor-vehicles-motor-cycles/2012-hyundai-i30-elite-gd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
airbag light on
windscreen chipped or cracked.
engine noise observed.",44,6100,2025-05-11
2017,HYUNDAI,I30,active pd,Hatchback,Automatic,Petrol,123585,5.0,KMHH351EMJU019461,No plates,Unregistered,4,2,Grey,Black,Yes,Yes,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21048306/motor-vehicles-motor-cycles/2017-hyundai-i30-active-pd-automatic-hatchback,"dents or marks on body consistent with age and kilometres.
dents or marks on body consistent with age and kilometres.
engine noise observed.",109,8500,2025-05-11
2011,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,423319,5.0,JTNBU56E10J063501,No plates,Unregistered,4,1.8,White,Grey,Yes,No,No,No,Yes,qld,https://www.grays.com/lot/0001-50515167/motor-vehicles-motor-cycles/2011-toyota-corolla-ascent-zre152r-automatic-sedan,"seat torn passenger seat
back seat stains.
dents or marks on body consistent with age and kilometres.
medium scratch on rh front bumper",14,2300,2025-05-14
2013,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,305411,5.0,JTNBU56E10J102846,No plates,Unregistered,4,1.8,White,Grey,Yes,No,No,No,Yes,qld,https://www.grays.com/lot/0001-50515201/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
paint peeling doors",26,3900,2025-05-14
2013,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,362639,5.0,JTNBU56E10J103933,No plates,Unregistered,4,1.8,White,Grey,Yes,No,No,No,Yes,qld,https://www.grays.com/lot/0001-50515170/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
paint peeling over vehicle",22,3200,2025-05-14
2012,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,432145,5.0,JTNBU56E60J081797,No plates,Unregistered,4,1.8,Silver,Grey,Yes,No,No,No,Yes,qld,https://www.grays.com/lot/0001-50515169/motor-vehicles-motor-cycles/2012-toyota-corolla-ascent-zre152r-automatic-sedan,"back seat stains.
dents or marks on body consistent with age and kilometres.
paint fading multiple panels",10,2200,2025-05-14
2013,HYUNDAI,I30,elite gd,Hatchback,Automatic,Petrol,101330,5.0,KMHD351EMEU132992,MH205S,08-06-2025,4,1.8,Red,Black,Yes,Yes,Yes,Yes,Yes,wa,https://www.grays.com/lot/0001-9059579/motor-vehicles-motor-cycles/2013-hyundai-i30-elite-gd-automatic-hatchback,"front left side minor cracked bumper.
dents or marks on body consistent with age and kilometres.",139,8600,2025-05-14
2013,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,351093,5.0,JTNBU56E10J104810,No plates,Unregistered,4,1.8,Silver,Black,Yes,No,No,No,Yes,qld,https://www.grays.com/lot/0001-50515259/motor-vehicles-motor-cycles/2013-toyota-corolla-ascent-zre152r-automatic-sedan,"dents or marks on body consistent with age and kilometres.
paint peeling over vehicle",62,4412,2025-05-21
2012,TOYOTA,Corolla,ascent zre152r,Sedan,Automatic,Petrol,355398,5.0,JTNBU56E90J101279,No plates,Unregistered,4,1.8,White,Grey,Yes,No,No,No,Yes,qld,https://www.grays.com/lot/0001-50515261/motor-vehicles-motor-cycles/2012-toyota-corolla-ascent-zre152r-automatic-sedan,"marks in boot
medium scuff on lh rear bumper
paint peeling multiple panels
dents or marks on body consistent with age and kilometres.
medium scratch on rh front bumper",26,2309,2025-05-21
2012,HYUNDAI,I30,active gd,Hatchback,Automatic,Petrol,179578,5.0,KMHD251EMDU037517,no plates,Unregistered,4,1.8,Black,Black,Yes,No,Yes,Yes,Yes,vic,https://www.grays.com/lot/0001-21049128/motor-vehicles-motor-cycles/2012-hyundai-i30-active-gd-automatic-hatchback,"exterior: scratches, paint fade and dents.",69,5855,2025-05-21
