part,pick_price,warranty_price,core_deposit,models_2008_on
Cable Handbrake Rear ( Each),$30,$36,,P.O.A
Cable Handbrake Rear 1 Piece,$45,$54,,P.O.A
Cable Heater,$5,$6,,P.O.A
Cable Kick Down,$20,$24,,P.O.A
Cable Speedo,$25,$30,,P.O.A
Canister Pollution,$15,$18,,P.O.A
Cap,$5,$6,,P.O.A
Cap Fuel Cover,$25,$30,,P.O.A
Cap Radiator,$5,$6,,P.O.A
Canopy Complete,$150 to $500,,,P.O.A
Carby 3/4/6 Cylinder,$55,$66,,P.O.A
Carby V8,$150,$180,,P.O.A
Cargo Barrier,$65,$78,,P.O.A
Carpet Front Section,$50,$60,,P.O.A
Carpet Full,$80,$96,,P.O.A
Carpet Boot,$20,$24,,P.O.A
Catch Bonnet,$10,$12,,P.O.A
Catch Door/ Check Strap,$10,$12,,P.O.A
Catch Glove Box,$10,$12,,P.O.A
Chain Timing,$20,$24,,P.O.A
Chassis Rail w/ Suspension Complete,$250,$300,,P.O.A
Chassis Rail Bare,$150,$180,,P.O.A
Cigarette Lighter,$2,$2.40,,P.O.A
Clock,$20,$24,,P.O.A
Climate Control Unit,$75,$90,,P.O.A
Clutch Bearing and Lever Fork,$30,$36,,P.O.A
Clutch Dust Cover,$20,$24,,P.O.A
Clutch Hydraulic Line,$20,$24,,P.O.A
Clutch Master Cylinder,$45,$54,,P.O.A
Clutch Pedal Rubber,$5,$6,,P.O.A
Clutch Plate,$50,$60,,P.O.A
Clutch Pressure Plate,$50,$60,,P.O.A
Clutch Slave Cylinder,$45,$54,,P.O.A
Coil Single,$20,$24,,P.O.A
Coil Electric Each,$35,$42,,P.O.A
Coil Pack VT V6 Type,$125,$150,,P.O.A
Coil Pack 4/6 Cylinder,$45,$54,,P.O.A
Coil Lead Each,$2,$2.40,,P.O.A
Computer Air Bag,$45,$54,,P.O.A
Computer ABS,$55,$66,,P.O.A
Computer Auto,$55,$66,,P.O.A
Computer BCM,$55,$66,,P.O.A
Computer ECU/ Engine,$65,$78,,P.O.A
Computer Key Reader,$25,$30,,P.O.A
Computer LPG,$25,$30,,P.O.A
Computer Head Unit (Eg. BA Ford (Brain) Multi Unit Display),$110,$132,,P.O.A
Cross Member Front Engine 4/6 Cylinder Bare,$75,$90,,P.O.A
Cross Member Front V8 Bare,$110,$132,,P.O.A
Cross Member Rear Gearbox,$35,$42,,P.O.A
Cruise Control Stalk,$25,$30,,P.O.A
Cruise Control Kit,$110,$132,,P.O.A
Cruise Control Modulator Box,$45,$54,,P.O.A
D,D,D,D,D
Diff Complete Passenger Car,$250,$300,,P.O.A
Diff Complete 4WD Front,$250,$300,,P.O.A
Diff Complete 4WD Rear,$275 to $550,$330 to $660,,P.O.A
Diff Complete Commercial Van/Ute,$250,$300,,P.O.A
Diff Centre Passenger Car,$120,$144,,P.O.A
Diff Centre Commercial/4WD Drop Out Type,$150,$180,,P.O.A
Diff Centre and Housing Passenger Car,$150,$180,,P.O.A
Diff Housing Bare,$110,$132,,P.O.A
Dip Stick,$5,$6,,P.O.A
Disc (See Brake Disc),,,,
Distributor 4 cyl,$55,$66,,P.O.A
Distributor V6,$75,$90,,P.O.A
Distributor Cap,$20,$24,,P.O.A
Distributor Lead,$2,,,P.O.A
Distributor V8,$125,$150,,P.O.A
Draglink Complete,$85,$102,,P.O.A
Draglink Section,$30,$36,,P.O.A
Drive Plate Auto/Flex Plate,$45,$54,,P.O.A
Drive Plate Auto V8/4WD/Commercial,$65,$78,,P.O.A
Drive Shaft/CV Joint Passenger Car,$35,$42,,P.O.A
"Drive Shaft/CV Joint 4WD, Commercial",$65,$78,,P.O.A
E Note: Complete Engine Does Not Include Gearbox/Computer/Pwr Stg Pump/Air Con Compressor. Short Motor is Sump and Block. Long Motor is Rocker Cover to Sump No Bolt ons.,E Note: Complete Engine Does Not Include Gearbox/Computer/Pwr Stg Pump/Air Con Compressor. Short Motor is Sump and Block. Long Motor is Rocker Cover to Sump No Bolt ons.,E Note: Complete Engine Does Not Include Gearbox/Computer/Pwr Stg Pump/Air Con Compressor. Short Motor is Sump and Block. Long Motor is Rocker Cover to Sump No Bolt ons.,E Note: Complete Engine Does Not Include Gearbox/Computer/Pwr Stg Pump/Air Con Compressor. Short Motor is Sump and Block. Long Motor is Rocker Cover to Sump No Bolt ons.,E Note: Complete Engine Does Not Include Gearbox/Computer/Pwr Stg Pump/Air Con Compressor. Short Motor is Sump and Block. Long Motor is Rocker Cover to Sump No Bolt ons.
Engine Complete 4 Cylinder,$350,$420,,P.O.A
Engine Complete 6 Cylinder,$450,$540,,P.O.A
Engine Complete Diesel,P.O.A,P.O.A,,P.O.A
Engine Complete V8,P.O.A,P.O.A,,P.O.A
Engine Long 3/4 Cylinder,$200,$240,,P.O.A
Engine Long 6 Cylinder,$250,$300,,P.O.A
Engine Long Diesel,P.O.A,P.O.A,,P.O.A
Engine Long V8,P.O.A,P.O.A,,P.O.A
Engine Short 3/4 Cylinder,$150,$180,,P.O.A
Engine Short 6 Cylinder,$250,$300,,P.O.A
Engine Short Diesel,P.O.A,P.O.A,,P.O.A
Engine Short V8,P.O.A,P.O.A,,P.O.A
Engine Air Pump,$55,$66,,P.O.A
Engine Idler Pulley Assy,$30,$36,,P.O.A
Engine Cam Box,$45,$54,,P.O.A
Engine Cam Box with Cam,$65,$78,,P.O.A
Engine Cam Shaft,$45,$54,,P.O.A
Engine Conrod and Piston,$30,$36,,P.O.A
Engine Cover (Eg. VT Commodore),$45,$54,,P.O.A
Engine Crank Shaft,$65,$78,,P.O.A
Engine Gear Drive,$30,$36,,P.O.A
Engine Gear Each,$15,$18,,P.O.A
Engine Guide,$15,$18,,P.O.A
Engine Harmonic Balancer,$35,$42,,P.O.A
Engine Rocker Cover,$40,$48,,P.O.A
Engine Cylinder Head 3 Cylinder,$65,$78,,P.O.A
Engine Cylinder Head 4 Cylinder,$150,$180,,P.O.A
Engine Cylinder Head Straight 6,$150,$180,,P.O.A
Engine Cylinder Head V6 Each,$90,$108,,P.O.A
Engine Cylinder Head 4WD/Commercial,$150,$180,,P.O.A
Engine Cylinder Head V8 Each,P.O.A,P.O.A,,P.O.A
Engine Cylinder Head Diesel,P.O.A,P.O.A,,P.O.A
Engine Idler Pulley,$20,$24,,P.O.A
Engine Lifter,$10,$12,,P.O.A
Engine Mount,$25,$30,,P.O.A
Engine Oil Filter Housing,$30,$36,,P.O.A
Engine Oil Pick Up,$35,$42,,P.O.A
Engine Oil Pump,$30,$36,,P.O.A
Engine Pulley Per V,$10,$12,,P.O.A
Engine Push Rod,$15,$18,,P.O.A
Engine Rocker Arm,$10,$12,,P.O.A
