scraped_at,url,row_index,bidding_details,bidder_name,bid_time,bid_price,bid_qty,win_qty,reserve_met
2026-01-09T03:33:13.984154,https://www.grays.com/lot/0001-10351966/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,9,m.b - Burraneer NSW,m.b - Burraneer NSW,02/01/2026 10.28.12 AM AEDT,"AU $ 12,200",1,0,True
2026-01-09T03:33:13.984154,https://www.grays.com/lot/0001-10351966/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,10,A.B - WATTLE GROVE NSW,A.B - WATTLE GROVE NSW,31/12/2025 10.16.58 PM AEDT,"AU $ 12,100",1,0,True
2026-01-09T03:33:13.984154,https://www.grays.com/lot/0001-10351966/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,11,j.m - Sippy Downs QLD,j.m - Sippy Downs QLD,30/12/2025 3.00.14 PM AEDT,"AU $ 12,000",1,0,True
2026-01-09T03:33:13.984154,https://www.grays.com/lot/0001-10351966/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,12,a.l - blaxcell NSW,a.l - blaxcell NSW,20/12/2025 11.39.55 AM AEDT,"AU $ 10,000",1,0,True
2026-01-09T03:33:13.984154,https://www.grays.com/lot/0001-10351966/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,13,C.K - Greenacre NSW,C.K - Greenacre NSW,30/12/2025 10.15.00 AM AEDT,"AU $ 9,000",1,0,True
2026-01-09T03:33:13.984154,https://www.grays.com/lot/0001-10351966/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,14,S.P - Roselands NSW,S.P - Roselands NSW,26/12/2025 7.56.23 AM AEDT,"AU $ 8,600",1,0,True
2026-01-09T03:33:13.984154,https://www.grays.com/lot/0001-10351966/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,15,j.p - HELENVALE QLD,j.p - HELENVALE QLD,25/12/2025 11.23.40 PM AEDT,"AU $ 8,500",1,0,True
2026-01-09T03:33:13.984154,https://www.grays.com/lot/0001-10351966/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,16,A.M - HILLSDALE NSW,A.M - HILLSDALE NSW,24/12/2025 9.07.17 PM AEDT,"AU $ 8,400",1,0,True
2026-01-09T03:33:13.984154,https://www.grays.com/lot/0001-10351966/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,17,-.A - point cook VIC,-.A - point cook VIC,23/12/2025 3.40.45 AM AEDT,"AU $ 8,300",1,0,True
2026-01-09T03:33:13.984154,https://www.grays.com/lot/0001-10351966/motor-vehicles-motor-cycles/2021-hyundai-tucson-fwd-nx4-automatic-wagon,18,M.I - Liverpool NSW,M.I - Liverpool NSW,22/12/2025 3.31.12 PM AEDT,"AU $ 8,100",1,0,True
