year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,canonical_tag,canonical_reason,drivetrain_source,status,time_remaining_or_date_sold,price,bids
2014,TOYOTA,Rav,4 AWD GX ALA49R,Wagon,Automatic,Diesel,191429,5.0,JTMBAREV80D046439,No plates,Unregistered,4,2.2,Silver,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21061922/motor-vehicles-motor-cycles/2014-toyota-rav-4-awd-gx-ala49r-turbo-diesel-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Bottom engine cover is sagging down",UNCLASSIFIED,[OUT_OF_SCOPE],,Active,4d 16h 59m19s,2509.0,51.0
2015,FORD,Ranger,XL 4X2 Hi-Rider PX,Cab Chassis,Automatic,Diesel,161289,2.0,MNAUMAF80FW421746,2AL8LM,13-04-2026,4,2.2,White,Grey,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21061954/motor-vehicles-motor-cycles/2015-ford-ranger-xl-4x2-hi-rider-px-turbo-diesel-automatic-cab-chassis,"Medium Scratch on Some Places
Medium Dent on Some Places
Paint peeling Some Places
Corrosion visible all around boot tray
Front Seat Stains Both
Engine light ON
Engine overheating, tow advisable.
Inspection highly recommended by qualified third party or by NAS (in our added services) prior to bidding
Dents or marks on body consistent with age and kilometres",UNCLASSIFIED,[OUT_OF_SCOPE],,Sold,28 January 2026 20:00 AEDT,3547.0,54.0
2013,NISSAN,Navara,4X2 RX D40,Dual Cab,Manual,Diesel,186106,5.0,MNTVCGD40A0600170,No Plates,Unregistered,4,2.5,White,Grey,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21062004/motor-vehicles-motor-cycles/2013-nissan-navara-4x2-rx-d40-turbo-diesel-manual-dual-cab,"Dents or marks on body consistent with age and kilometres.
Medium Dent on Various Locations",UNCLASSIFIED,[OUT_OF_SCOPE],,Sold,28 January 2026 19:00 AEDT,2509.0,40.0
2014,MERCEDES,Benz,C200 C200 W205,Sedan,Automatic,Petrol,180392,5.0,WDD2050422R012790,No plates,Unregistered,4,2.0,Black,Black Leather,Yes,No,Yes,Partial,Yes,VIC,https://www.grays.com/lot/0001-21062040/motor-vehicles-motor-cycles/2014-mercedes-benz-c200-c200-w205-automatic-sedan,"Windscreen Chipped or Cracked.
Medium Scratch on Around vehicle
Dents or marks on body consistent with age and kilometres.",UNCLASSIFIED,[OUT_OF_SCOPE],,Referred,nan,nan,112.0
2012,VOLKSWAGEN,Touareg,150 TDI 7P,Wagon,Automatic,Diesel,172139,5.0,WVGZZZ7PZDD008200,1QA1SU,17-01-2026,6,3.0,Silver,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21062074/motor-vehicles-motor-cycles/2012-volkswagen-touareg-150-tdi-7p-turbo-diesel-automatic-8-speed-wagon,"Dents or marks on body consistent with age and kilometres.
Windscreen Chipped or Cracked.
Large Dent on Front left fender and right rear passenger door",UNCLASSIFIED,[OUT_OF_SCOPE],,Active,4d 16h 58m49s,9.0,2.0
2018,TOYOTA,Hilux,4x4 SR GUN126R,Crew Cab Chassis,Automatic,Diesel,184502,5.0,MR0KA3CD001307136,1NO8FQ,31-08-2026,4,2.8,White,Black,Yes,No,Yes,Partial,Yes,VIC,https://www.grays.com/lot/0001-21062122/motor-vehicles-motor-cycles/2018-toyota-hilux-4x4-sr-gun126r-turbo-diesel-automatic-crew-cab-chassis,"Seat Torn Drivers
Back Seat Stains.
Large Scratch on Around vehicle",UNCLASSIFIED,[OUT_OF_SCOPE],,Active,16h 58m42s,18100.0,198.0
2008,TOYOTA,Aurion,Sportivo ZR6 GSV40R,Sedan,Automatic,Petrol,191389,5.0,6T153KK400X306184,WTY146,12-03-2026,6,3.5,Black,Black Leather,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21062128/motor-vehicles-motor-cycles/2008-toyota-aurion-sportivo-zr6-gsv40r-automatic-sedan,"Windscreen Chipped or Cracked.
Paint fading Around vehicle
Medium Scratch on Around vehicle
Large Scuff on Around vehicle
Corrosion visible Boot
Dents or marks on body consistent with age and kilometres.",UNCLASSIFIED,[OUT_OF_SCOPE],,Sold,28 January 2026 20:00 AEDT,4267.0,56.0
2020,TOYOTA,Hilux,4X2 WORKMATE TGN121R,Cab Chassis,Automatic,Petrol,180009,2.0,MR0EX3CB201132379,1RW5BU,16-06-2026,4,2.7,White,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21062129/motor-vehicles-motor-cycles/2020-toyota-hilux-4x2-workmate-tgn121r-automatic-cab-chassis,"Dents or marks on body consistent with age and kilometres.
Seat Torn driver seat
Large Scuff on front bumper
Corrosion visible roof spots",UNCLASSIFIED,[OUT_OF_SCOPE],,Active,3d 16h 58m28s,4209.0,82.0
2016,VOLVO,V60,D4 LUXURY,Wagon,Automatic,Diesel,285881,5.0,YV1FWA8CDG1318853,AMP615,14-05-2026,4,2.0,Black,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21062132/motor-vehicles-motor-cycles/2016-volvo-v60-d4-luxury-turbo-diesel-automatic-8-speed-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Scratch on various panels",UNCLASSIFIED,[OUT_OF_SCOPE],,Referred,nan,nan,87.0
2015,FORD,Fiesta,Ambiente WZ,Hatchback,Automatic,Petrol,130265,5.0,MPB8XXMXJ8FU30155,1NR6AE,Unregistered,4,1.5,White,Grey,Yes,No,Yes,Partial,Yes,VIC,https://www.grays.com/lot/0001-21062133/motor-vehicles-motor-cycles/2015-ford-fiesta-ambiente-wz-automatic-hatchback,"Medium Scratch on Some places
Medium Dent on Driver’s side door and some places
Front Seat Stains Both
Back Seat Stains.
Other Warning light ON",UNCLASSIFIED,[OUT_OF_SCOPE],,Sold,28 January 2026 20:00 AEDT,3850.0,58.0
