year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition
2011,HYUNDAI,I30,SR FD,Hatchback,Automatic,Petrol,239516,5,KMHDC51EMBU344125,BL46ML,"14-07-2026 - Registration will only be transferred to the registered bidder who must hold a NSW Licence, otherwise, vehicle will be sold unregistered.",4,2,White,Black,Yes,No,No,No,Yes,NSW,https://www.grays.com/lot/0001-10352155/motor-vehicles-motor-cycles/2011-hyundai-i30-sr-fd-automatic-hatchback,"Large Dent on Driver side rear quarter panel
Damaged Driver side tail light
Hail damage visible.
Large Dent on Driver side cant rail
Flat Battery. Jump start or towing required
Traction control light ON
Seat Torn Drivers seat"
2006,NISSAN,X-trail,ST T30,Wagon,Automatic,Petrol,188012,5,JN1TBNT30A0212826,AIP18G,"10-12-2025-Registration will only be transferred to the registered bidder who must hold a NSW Licence, otherwise, vehicle will be sold unregistered.",4,2.5,Grey,Grey,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352156/motor-vehicles-motor-cycles/2006-nissan-x-trail-st-t30-automatic-wagon,"Front bar damaged drivers foglight bezel missing Cracked bumper.
Engine noise observed.
Transmission Requires attention Strongly recommend inspection by qualified third party
Damaged Drivers headlight broken
Front Seat worn Drivers seat
Back Seat Stains.
Rear bar impact damage and poor repairs Cracked bumper.
Engine Oil Leak
Medium Scratch on Drivers mirror"
2009,MERCEDES,Benz,C220 CDI Classic W204,Sedan,Automatic,Diesel,145435,5,WDD2040022A327133,BLF32W,"29-10-2026-Registration will only be transferred to the registered bidder who must hold a NSW Licence, otherwise, vehicle will be sold unregistered.",4,2.1,Grey,Black,Yes,Yes,Yes,No,Yes,NSW,https://www.grays.com/lot/0001-10352157/motor-vehicles-motor-cycles/2009-mercedes-benz-c220-cdi-classic-w204-turbo-diesel-automatic-sedan,"Large Scratch on Driver side rear door, bumper bars, bootlid
Paint peeling Roof gutter moulds"
2009,TOYOTA,Camry,Altise ACV40R,Sedan,Automatic,Petrol,264540,5,6T153BK400X076549,EMF28C,"Sold Unregistered, Without Plates",4,2.4,White,Grey,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352158/motor-vehicles-motor-cycles/2009-toyota-camry-altise-acv40r-automatic-sedan,"Engine idling rough
Front Seat worn Drivers seat
Back Seat Stains.
Body/panel damage Front end and passengers guard damaged
Paint fading Various panels
Corrosion visible Passengers guard and boot floor
Damaged Drivers side rear
Hail damage visible.
Medium Scratch on Drivers mirror"
2010,AUDI,A3,1.4 TFSI 8P,Hatchback,Automatic,Petrol,159442,5,WAUZZZ8P9BA084512,DO73FZ,"Sold Unregistered, Without Plates",4,1.4,Red,Black,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352159/motor-vehicles-motor-cycles/2010-audi-a3-1-4-tfsi-8p-automatic-hatchback,"Large Dent on Driver side rear quarter panel
Flat Battery. Jump start or towing required
Engine light ON
Transmission Requires attention Strongly recommend inspection by qualified third party"
2015,MITSUBISHI,Challenger,4WD PC,Wagon,Manual,Diesel,197838,5,MMAGNKH40EF005626,DAU73E,"Sold Unregistered, Without Plates",4,2.5,Silver,Black,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352160/motor-vehicles-motor-cycles/2015-mitsubishi-challenger-4wd-pc-turbo-diesel-manual-wagon,Seat Torn Drivers seat
2013,BMW,118i,118i F20,Hatchback,Automatic,Petrol,92022,5,WBA1A32020VY67707,YSK46B,"Sold Unregistered, Without Plates",4,1.6,White,Black,Yes,No,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352163/motor-vehicles-motor-cycles/2013-bmw-118i-118i-f20-automatic-8-speed-hatchback,Please refer to the photos or arrange inspection to view the condition of this vehicle.
2021,LDV,G10,Van,Van,Automatic,Diesel,104792,2,LSKG4GL18MA052020,DP22GC,"Sold Unregistered, Without Plates",4,1.9,White,Grey,Yes,No,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352164/motor-vehicles-motor-cycles/2021-ldv-g10-turbo-diesel-automatic-van,"Front Seat worn Drivers
Large Dent on Passenger side sill panel and guard
Rear Cracked bumper.
Engine light ON
Dents or marks on body consistent with age and kilometres.
Medium Dent on body panel"
2018,VOLVO,Xc60,D4 INSCRIPTION,Wagon,Automatic,Diesel,159139,5,LYVUZA8ACKB205985,WSE28V,"Sold Unregistered, Without Plates",4,2,Silver,Cream,Yes,Yes,Yes,Partial,No,NSW,https://www.grays.com/lot/0001-10352165/motor-vehicles-motor-cycles/2018-volvo-xc60-d4-inscription-turbo-diesel-automatic-8-speed-wagon,Medium Scuff on side mirror panel
2014,AUDI,A3,1.4 TFSI COD Attract 8V,Sedan,Automatic,Petrol,208582,5,WAUZZZ8V3F1052708,DG38EW,"Sold Unregistered, Without Plates",4,1.4,Silver,Grey,Yes,Yes,Yes,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352166/motor-vehicles-motor-cycles/2014-audi-a3-1-4-tfsi-cod-attract-8v-automatic-sedan,"Engine light ON
Transmission Requires attention Strongly recommend inspection by qualified third party
Hood Lining Sagging
Windscreen Chipped or Cracked.
Large Dent on Passenger rear door
Large Scratch on Passengers quarter panel
Hail damage visible."
2009,VOLKSWAGEN,Tiguan,103 TDI 5N,Wagon,Automatic,Diesel,325704,5,WVGZZZ5NZAW039828,EDA09C,"25-02-2026-Registration will only be transferred to the registered bidder who must hold a NSW Licence, otherwise, vehicle will be sold unregistered.",4,2,Blue,Black,Yes,Yes,No,Partial,Yes,NSW,https://www.grays.com/lot/0001-10352169/motor-vehicles-motor-cycles/2009-volkswagen-tiguan-103-tdi-5n-turbo-diesel-automatic-wagon,"Corrosion visible Roof, with paint peel
Airbag light ON
Other Warning light ON
Large Dent on Passenger side front guard"
