source_pos,source_from_end,chunk_from_end,url,year,make,model,variant,old_price,new_price,price_delta,old_date_sold,new_date_sold,old_bids,new_bids
16093,1010,1000,https://www.grays.com/lot/0001-21062897/motor-vehicles-motor-cycles/2008-toyota-camry-altise-acv40r-automatic-sedan,2008,toyota,camry,altise acv40r,9,"$3,200",3191,2026-02-12,17 February 2026,1,35
16092,1011,1000,https://www.grays.com/lot/0001-21062896/motor-vehicles-motor-cycles/2018-toyota-camry-ascent-asv70r-automatic-sedan,2018,toyota,camry,ascent asv70r,209,"$10,500",10291,2026-02-12,17 February 2026,3,119
16091,1012,1000,https://www.grays.com/lot/0001-21062895/motor-vehicles-motor-cycles/2018-ford-everest-titanium-titanium-4wd-uaii-turbo-diesel-10-auto,2018,ford,everest,titanium titanium 4wd uaii 10,1109,"$23,426",22317,2026-02-12,17 February 2026,12,148
16089,1014,1000,https://www.grays.com/lot/0001-21062892/motor-vehicles-motor-cycles/2004-lexus-rx-rx330-sports-mcu38r-automatic-wagon,2004,lexus,rx,rx330 sports mcu38r,409,"$3,109",2700,2026-02-12,17 February 2026,9,43
16088,1015,1000,https://www.grays.com/lot/0001-21062868/motor-vehicles-motor-cycles/2009-mitsubishi-lancer-es-cj-cvt-sedan,2009,mitsubishi,lancer,es cj,1009,"$3,009",2000,2026-02-12,15 February 2026,14,40
16087,1016,1000,https://www.grays.com/lot/0001-21062864/motor-vehicles-motor-cycles/2014-volvo-s60-t4-automatic-sedan,2014,volvo,s60,t4,801,"$5,201",4400,2026-02-12,15 February 2026,9,76
16086,1017,1000,https://www.grays.com/lot/0001-21062860/motor-vehicles-motor-cycles/2013-nissan-pulsar-st-l-c12-cvt-hatchback,2013,nissan,pulsar,st-l c12,709,"$4,609",3900,2026-02-12,15 February 2026,10,82
16084,1019,1000,https://www.grays.com/lot/0001-21062858/motor-vehicles-motor-cycles/2014-peugeot-308-allure-touring-t9-turbo-diesel-automatic-wagon,2014,peugeot,308,allure touring t9,509,"$2,600",2091,2026-02-12,16 February 2026,7,31
16083,1020,1000,https://www.grays.com/lot/0001-21062857/motor-vehicles-motor-cycles/2012-subaru-forester-x-s3-automatic-wagon,2012,subaru,forester,x s3,509,"$2,900",2391,2026-02-12,16 February 2026,7,39
16082,1021,1000,https://www.grays.com/lot/0001-21062856/motor-vehicles-motor-cycles/2008-subaru-outback-3-0r-premium-b4a-automatic-wagon,2008,subaru,outback,3.0r premium b4a,309,"$2,600",2291,2026-02-12,16 February 2026,5,21
16081,1022,1000,https://www.grays.com/lot/0001-21062855/motor-vehicles-motor-cycles/2014-toyota-hiace-kdh223r-turbo-diesel-automatic-14-seats-bus,2014,toyota,hiace,kdh223r,5350,"$18,400",13050,2026-02-12,16 February 2026,40,153
16080,1023,1000,https://www.grays.com/lot/0001-21062854/motor-vehicles-motor-cycles/2020-mitsubishi-outlander-black-edition-2wd-zl-cvt-7-seats-wagon,2020,mitsubishi,outlander,black edition 2wd zl,2500,"$9,900",7400,2026-02-12,16 February 2026,33,138
16079,1024,1000,https://www.grays.com/lot/0001-21062853/motor-vehicles-motor-cycles/2004-holden-commodore-executive-vy-automatic-wagon,2004,holden,commodore,executive vy,209,$609,400,2026-02-12,15 February 2026,3,7
16078,1025,1000,https://www.grays.com/lot/0001-21062852/motor-vehicles-motor-cycles/2010-ford-fiesta-lx-wt-turbo-diesel-manual-hatchback,2010,ford,fiesta,lx wt,1009,"$1,909",900,2026-02-12,15 February 2026,16,28
