year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold,odo_suspect,group_id,reason_code,audit_ts
2017,HOLDEN,Captiva,7 LTZ (AWD) CG II,Wagon,Automatic,Diesel,179419,7.0,KL3CD2669HB772749,No plates,Unregistered,4,2.2,Black,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21045454/motor-vehicles-motor-cycles/2017-holden-captiva-7-ltz-awd-cg-ii-turbo-diesel-automatic-7-seats-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Rear Passenger Side
Medium Dent on Small dents on front Passenger door
Medium Scuff on Front bumper and crack",50,4600,2025-03-19,0,holden_captiva_suv_diesel_auto_4cyl,,2026-01-19T05:05:39
2010,HOLDEN,Captiva,CX AWD CG,Wagon,Automatic,Diesel,239325,7.0,KL3CD26RJAB029002,No Plates,Unregistered,4,2,White,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21045268/motor-vehicles-motor-cycles/2010-holden-captiva-cx-awd-cg-turbo-diesel-automatic-7-seats-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Scuff on Rear bumper",22,1909,2025-03-19,0,holden_captiva_suv_diesel_auto_4cyl,,2026-01-19T05:05:39
2002,HOLDEN,Commodore,Executive Y Series,Wagon,Automatic,Petrol,425500,5.0,6G1YK82A23L924648,no plates,Unregistered,6,3.8,White,Grey,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045373/motor-vehicles-motor-cycles/2002-holden-commodore-executive-y-series-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Large Scuff on Around the car
Engine noise observed.
Paint fading On the hood",4,309,2025-03-19,0,holden_commodore_wagon_petrol_auto_v6,,2026-01-19T05:05:39
2010,NISSAN,Navara,ST (4x4) D40 Dual,Dual Cab,Automatic,Diesel,191798,5.0,MNTVCUD40A0005157,XQW187,09-01-2025,4,2.5,White,Grey,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045491/motor-vehicles-motor-cycles/2010-nissan-navara-st-4x4-d40-turbo-diesel-automatic-dual-cab,"Damaged LH tail light cracked.
Dents or marks on body consistent with age and kilometres.
Medium Dent on Roof,
Corrosion visible Roof
Medium Dent on Rear tub",67,5710,2025-03-20,0,nissan_navara_dualcab_ute_diesel_auto,,2026-01-19T05:05:39
2005,HOLDEN,Commodore,Executive VZ,Sedan,Automatic,Petrol,285774,5.0,6G1ZK52B95L390109,YKR793,15-03-2025,6,3.6,White,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21045521/motor-vehicles-motor-cycles/2005-holden-commodore-executive-vz-automatic-sedan,"Medium Scratch on Around the car
Medium Scuff on On the sides of the car and front bumper
Medium Dent on Back of the car on the boot
Dents or marks on body consistent with age and kilometres.
Windscreen Chipped or Cracked.
Paint fading Around the car",6,509,2025-03-20,0,holden_commodore_sedan_petrol_auto_v6,,2026-01-19T05:05:39
2011,HOLDEN,Commodore,SV6 VE,Sedan,Automatic,Petrol,193072,5.0,6G1EK5EV0BL526319,No plates,Unregistered,6,3.6,Red,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21045612/motor-vehicles-motor-cycles/2011-holden-commodore-sv6-ve-automatic-sedan,"Engine light ON
Engine noise observed.
Body/panel damage front bumper and LHF guard
Large Scratch on LHR guard/door
Large Scratch on rear bumper",42,3200,2025-03-23,0,holden_commodore_sedan_petrol_auto_v6,,2026-01-19T05:05:39
2015,HOLDEN,Captiva,7 LS 2WD CG II,Wagon,Automatic,Diesel,114557,7.0,KL3CA2669GB509216,1GM7FR,28-05-2025,4,2.2,Red,Grey,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045654/motor-vehicles-motor-cycles/2015-holden-captiva-7-ls-2wd-cg-ii-turbo-diesel-automatic-7-seats-wagon,"Dents or marks on body consistent with age and kilometres.
Medium Dent on Rear passenger side
Dents or marks on body consistent with age and kilometres.
Paint fading Panel",57,3800,2025-03-24,0,holden_captiva_suv_diesel_auto_4cyl,,2026-01-19T05:05:39
2011,HOLDEN,Commodore,SV6 VE,Sedan,Automatic,Petrol,176560,5.0,6G1EK5EV4BL576429,1IK8ZU,15-04-2025,6,3.6,Green,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045438/motor-vehicles-motor-cycles/2011-holden-commodore-sv6-ve-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Paint peeling on spolier",43,6200,2025-03-24,0,holden_commodore_sedan_petrol_auto_v6,,2026-01-19T05:05:39
2013,HOLDEN,Cruze,CD JH Equipe,Hatchback,Automatic,Petrol,192023,5.0,6G1PD6EM0EL953438,1AY2JX,11-02-2025,4,1.8,Grey,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045686/motor-vehicles-motor-cycles/2013-holden-cruze-cd-jh-equipe-automatic-hatchback,Dents or marks on body consistent with age and kilometres.,14,1750,2025-03-24,0,holden_cruze_hatch_petrol_auto_4cyl,,2026-01-19T05:05:39
2006,HOLDEN,Commodore,Executive VZ,Sedan,Automatic,Petrol,307562,5.0,6G1ZK52B16L843334,XNW493,03-06-2025,6,3.6,Silver,Black,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045689/motor-vehicles-motor-cycles/2006-holden-commodore-executive-vz-automatic-sedan,"Paint fading Panel
Airbag light ON
Other Warning light ON
Hood Lining Sagging",11,1009,2025-03-24,0,holden_commodore_sedan_petrol_auto_v6,,2026-01-19T05:05:39
2005,HOLDEN,Commodore,Executive VZ,Sedan,Automatic,Petrol,244660,5.0,6G1ZK52B95L423061,UMJ910,Unregistered,6,3.6,White,Black,Yes,No,No,No,Yes,VIC,https://www.grays.com/lot/0001-21045662/motor-vehicles-motor-cycles/2005-holden-commodore-executive-vz-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Medium Dent on Panel
Paint fading Panel
Paint peeling Panel
Door Mirror Broken Driver and passenger
Hood Lining Sagging
Large Scuff on Passenger side",14,1109,2025-03-24,0,holden_commodore_sedan_petrol_auto_v6,,2026-01-19T05:05:39
2013,HOLDEN,Captiva,7 LTZ AWD CG II,Wagon,Automatic,Diesel,154526,7.0,KL3CD2669EB004695,1UX4TQ,20-05-2025,4,2.2,Maroon,Black Leather,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045784/motor-vehicles-motor-cycles/2013-holden-captiva-7-ltz-awd-cg-ii-turbo-diesel-automatic-7-seats-wagon,"Medium Scratch on Passenger doors, front bumper, rear bumper
Dents or marks on body consistent with age and kilometres.
Engine Smoke visible
Paint fading Around the car",31,2909,2025-03-25,0,holden_captiva_suv_diesel_auto_4cyl,,2026-01-19T05:05:39
2013,HYUNDAI,I30,Elite GD,Hatchback,Automatic,Petrol,56874,5.0,KMHD351EMDU084299,ZOV766,21-03-2025,4,1.8,Silver,Black,Yes,No,No,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045674/motor-vehicles-motor-cycles/2013-hyundai-i30-elite-gd-automatic-hatchback,Dents or marks on body consistent with age and kilometres.,84,10055,2025-03-25,0,hyundai_i30_hatch_petrol_auto_na_active_elite,,2026-01-19T05:05:39
2009,HYUNDAI,I30,SX FD,Hatchback,Automatic,Petrol,205035,5.0,KMHDB51EMAU231606,XMC869,23-04-2025,4,2,Red,Black,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045763/motor-vehicles-motor-cycles/2009-hyundai-i30-sx-fd-automatic-hatchback,"Paint peeling Front bar, rear bar
Medium Scratch on Front bar",49,3400,2025-03-25,0,hyundai_i30_hatch_petrol_auto_na_active_elite,,2026-01-19T05:05:39
2012,NISSAN,Navara,4x4 ST-X550 D40 Dual,Dual Cab,Automatic,Diesel,145013,5.0,VSKCAND40A0508202,BVQ323,03-04-2025,6,3,Silver,Black Leather,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045791/motor-vehicles-motor-cycles/2012-nissan-navara-4x4-st-x550-d40-turbo-diesel-automatic-dual-cab,"Dents or marks on body consistent with age and kilometres.
Front Seat worn Drivers",70,12905,2025-03-25,0,nissan_navara_dualcab_ute_diesel_auto,,2026-01-19T05:05:39
2013,VOLKSWAGEN,Golf,90TSI A7,Hatchback,Automatic,Petrol,198363,5.0,WVWZZZAUZEW023678,1AB9ME,14-05-2025,4,1.4,Black,Black,Yes,No,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21045736/motor-vehicles-motor-cycles/2013-volkswagen-golf-90tsi-a7-automatic-hatchback,"Dents or marks on body consistent with age and kilometres.
Large Scratch on Panel
Dents or marks on body consistent with age and kilometres.",29,4390,2025-03-25,0,volkswagen_golf_hatch_petrol_auto_base,,2026-01-19T05:05:39
2001,HOLDEN,Commodore,Executive VX,Wagon,Automatic,Petrol,110731,5.0,6H8VXK35A2L795080,RHR163,15-03-2025,6,3.8,White,Black,Yes,Yes,Yes,No,Yes,VIC,https://www.grays.com/lot/0001-21045757/motor-vehicles-motor-cycles/2001-holden-commodore-executive-vx-automatic-wagon,"Medium Scratch on Passenger doors, rear panel, rear bumper, front bumper, front fender
Medium Dent on Rear Tailgate
Dents or marks on body consistent with age and kilometres.
Paint cracked Rear bumper
Damaged Tail Light",19,1909,2025-03-25,0,holden_commodore_wagon_petrol_auto_v6,,2026-01-19T05:05:39
2014,HOLDEN,Captiva,7 LTZ AWD CG II,Wagon,Automatic,Diesel,159282,7.0,KL3CD2669EB063416,ABU875,06-05-2025,4,2.2,Black,Black Leather,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045706/motor-vehicles-motor-cycles/2014-holden-captiva-7-ltz-awd-cg-ii-turbo-diesel-automatic-7-seats-wagon,"Large Dent and Paint fading on Tailgate
Dents or marks on body consistent with age and kilometres.
Rear view mirror missing. RH side mirror indicator lens cracked.",48,3300,2025-03-25,0,holden_captiva_suv_diesel_auto_4cyl,,2026-01-19T05:05:39
2010,VOLKSWAGEN,Golf,118TSI Comfortline A6,Hatchback,Automatic,Petrol,161188,5.0,WVWZZZ1KZAW364712,2BZ9HN,03-05-2025,4,1.4,Silver,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045670/motor-vehicles-motor-cycles/2010-volkswagen-golf-118tsi-comfortline-a6-automatic-hatchback,"Dents or marks on body consistent with age and kilometres.
Medium Scratch on Panel
Engine noise observed.
Engine light ON
Dents or marks on body consistent with age and kilometres.",18,1709,2025-03-25,0,volkswagen_golf_hatch_petrol_auto_base,,2026-01-19T05:05:39
