year,make,model,variant,body_type,transmission,fuel_type,odometer_reading,no_of_seats,vin,rego_no,rego_expiry,no_of_cylinders,engine_capacity,exterior_colour,interior_colour,key,spare_key,owners_manual,service_history,engine_turns_over,location,url,general_condition,bids,price,date_sold,odo_suspect,canonical_tag,canonical_reason,price_numeric,price_text,bids_numeric
2007,TOYOTA,Aurion,Prodigy GSV40R,Sedan,Automatic,Petrol,220307,5.0,6T153KK400X290689,UZP949,28-02-2025,6,3.5,Blue,Black Leather,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045066/motor-vehicles-motor-cycles/2007-toyota-aurion-prodigy-gsv40r-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Windscreen Chipped or Cracked.
Front Seat worn
Engine idling rough",54,2900,2025-03-12,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2003,TOYOTA,Camry,Altise MCV36R,Sedan,Automatic,Petrol,233398,5.0,6T153XK360X284099,SLY988,30-03-2025,6,3.0,White,Grey,Yes,No,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045065/motor-vehicles-motor-cycles/2003-toyota-camry-altise-mcv36r-automatic-sedan,"Dents or marks on body consistent with age and kilometres.
Large Scuff on Front bumper
Paint fading Around the car",44,3909,2025-03-12,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2014,TOYOTA,Camry,Hybrid H AVV50R,Sedan,CVT,Hybrid,293462,5.0,6T1BD3FK90X137209,ANT437,08-08-2025,4,2.5,Grey,Black,Yes,Yes,No,No,Yes,VIC,https://www.grays.com/lot/0001-21044990/motor-vehicles-motor-cycles/2014-toyota-camry-hybrid-h-avv50r-cvt-sedan,Medium Dent on rear bumper knocked out of place,1,8000,2025-03-12,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2005,TOYOTA,Corolla,Ascent ZZE123R,Sedan,Automatic,Petrol,257245,5.0,AHT53ZEC206523746,BHZ75F,Unregistered,4,1.8,White,Grey,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10347616/motor-vehicles-motor-cycles/2005-toyota-corolla-ascent-zze123r-automatic-sedan,"Large Scratch on Bumper bars, driver side rear quarter panel
Hail damage visible.
Paint fading All over",21,1309,2025-03-12,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2013,TOYOTA,Landcruiser,Prado GXL KDJ150R,Wagon,Automatic,Diesel,232508,7.0,JTEBH3FJ20K097222,No Plates,Unregistered,4,3.0,Grey,Grey,Yes,Yes,Yes,Yes,Yes,VIC,https://www.grays.com/lot/0001-21045166/motor-vehicles-motor-cycles/2013-toyota-landcruiser-prado-gxl-kdj150r-turbo-diesel-auto-7-seats-wagon,"Dents or marks on body consistent with age and kilometres.
Paint fading Roof
Dents or marks on body consistent with age and kilometres.",55,20000,2025-03-12,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2002,TOYOTA,Landcruiser,GXL (4x4) FZJ105R,Wagon,Automatic,Petrol,362800,5.0,JTECJ09J105508028,1EWQ263,31-03-2025,6,4.5,White,Grey,Yes,No,Yes,Yes,Yes,WA,https://www.grays.com/lot/0001-9057703/motor-vehicles-motor-cycles/2002-toyota-landcruiser-gxl-4x4-fzj105r-automatic-wagon,"Glovebox Marks
Dents or marks on body consistent with age and kilometres.
Medium Scuff on Body",107,7500,2025-03-13,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2007,TOYOTA,Hiace,Commuter KDH223R,Bus,Manual,Diesel,526135,2.0,JTFST22P000001503,1HCW015,31-03-2025,4,3.0,White,Grey,Yes,No,No,No,Yes,WA,https://www.grays.com/lot/0001-9057708/motor-vehicles-motor-cycles/2007-toyota-hiace-commuter-kdh223r-turbo-diesel-manual-bus,"Other Warning light ON
Glovebox Marks
Seat Torn All around
Medium Scuff on Body
Dents or marks on body consistent with age and kilometres.
Medium Dent on Body",42,3150,2025-03-13,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2017,TOYOTA,Rav,4 AWD GXL ALA49R,Wagon,Automatic,Diesel,81050,5.0,JTMRBREV00D088051,FLU26U,Unregistered,4,2.2,White,Grey,Yes,Yes,Yes,Yes,Yes,NSW,https://www.grays.com/lot/0001-10347527/motor-vehicles-motor-cycles/2017-toyota-rav-4-awd-gxl-ala49r-turbo-diesel-automatic-wagon,"Dents or marks on body consistent with age and kilometres.
Windscreen Chipped or Cracked.",164,19100,2025-03-13,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2002,TOYOTA,Camry,CSI SXV20R,Sedan,Automatic,Petrol,319058,5.0,6T153SK200X093976,1BCR336,21-03-2025,4,2.2,Silver,Grey,Yes,Yes,No,No,Yes,WA,https://www.grays.com/lot/0001-9057727/motor-vehicles-motor-cycles/2002-toyota-camry-csi-sxv20r-automatic-sedan,"Glovebox Marks
Front Seat worn All around
Medium Scuff on Body
Paint peeling Body
Dents or marks on body consistent with age and kilometres.",19,1809,2025-03-13,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
2015,TOYOTA,Camry,Hybrid H AVV50R,Sedan,CVT,Hybrid,163789,5.0,6T1BD3FK60X142562,No plates,Unregistered,4,2.5,White,Grey,Yes,Yes,No,No,Yes,QLD,https://www.grays.com/lot/0001-50711367/motor-vehicles-motor-cycles/2015-toyota-camry-hybrid-h-avv50r-cvt-sedan,"Door card Worn.
Medium Scratch on Rh rear quarter
Large Dent on Rh rear quarter
Marks in boot
Paint cracked Rear bumper
Paint peeling Multiple panels
Front Seat worn Driver seat
Dents or marks on body consistent with age and kilometres.",5,8280,2025-03-13,0,UNCLASSIFIED,[OUT_OF_SCOPE],,,
