url,year,make,model,variant,body_type,fuel_type,transmission,badge_raw,drivetrain_raw,strict_group,strict_reason
https://www.grays.com/lot/0001-9059803/motor-vehicles-motor-cycles/2012-toyota-hilux-4x2-workmate-kun16r-turbo-diesel-manual-cab-chassis,2012,TOYOTA,Hilux,4X2 WORKMATE KUN16R,Cab Chassis,Diesel,Manual,4x2 workmate,fwd,,NO_MATCH
https://www.grays.com/lot/0001-10348764/motor-vehicles-motor-cycles/2017-toyota-hilux-sr-4x4-gun126r-turbo-diesel-automatic-crew-cab-chassis,2017,TOYOTA,Hilux,SR (4x4) GUN126R,Crew Cab Chassis,Diesel,Automatic,sr 4x4,4x4,,NO_MATCH
https://www.grays.com/lot/0001-21049204/motor-vehicles-motor-cycles/2012-toyota-camry-hybrid-h-avv50r-cvt-sedan,2012,TOYOTA,Camry,Hybrid H AVV50R,Sedan,Hybrid,CVT,h,,,NO_MATCH
https://www.grays.com/lot/0001-50515313/motor-vehicles-motor-cycles/2015-toyota-aurion-at-x-gsv50r-automatic-sedan,2015,TOYOTA,Aurion,AT-X GSV50R,Sedan,Petrol,Automatic,at x,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049199/motor-vehicles-motor-cycles/1994-toyota-camry-csi-sxv10-automatic-sedan,1994,TOYOTA,Camry,CSI SXV10,Sedan,Petrol,Automatic,csi,,,NO_MATCH
https://www.grays.com/lot/0001-21049265/motor-vehicles-motor-cycles/2001-toyota-landcruiser-prado-grande-4x4-kzj95r-t-d-manual-7-seats-wagon,2001,TOYOTA,Landcruiser,Prado Grande (4x4) KZJ95R T D,Wagon,Diesel,Manual,prado grande,4x4,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049252/motor-vehicles-motor-cycles/2012-toyota-kluger-kx-r-fwd-gsu40r-automatic-7-seats-wagon,2012,TOYOTA,Kluger,KX-R (FWD) GSU40R,Wagon,Petrol,Automatic,kx r,fwd,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049236/motor-vehicles-motor-cycles/2006-toyota-rav-4-cruiser-l-aca33r-automatic-wagon,2006,TOYOTA,Rav,4 Cruiser L ACA33R,Wagon,Petrol,Automatic,cruiser l,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049313/motor-vehicles-motor-cycles/2015-toyota-fortuner-crusade-gun156r-turbo-diesel-automatic-7-seats-wagon,2015,TOYOTA,Fortuner,CRUSADE GUN156R,Wagon,Diesel,Automatic,crusade,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049289/motor-vehicles-motor-cycles/2004-toyota-camry-altise-acv36r-automatic-sedan,2004,TOYOTA,Camry,Altise ACV36R,Sedan,Petrol,Automatic,altise,,,NO_MATCH
https://www.grays.com/lot/0001-60047873/motor-vehicles-motor-cycles/2010-toyota-camry-altise-acv40r-automatic-sedan,2010,TOYOTA,Camry,Altise ACV40R,Sedan,Petrol,Automatic,altise,,,NO_MATCH
https://www.grays.com/lot/0001-21049250/motor-vehicles-motor-cycles/2003-toyota-corolla-ascent-seca-zze123r-manual-hatchback,2003,TOYOTA,Corolla,Ascent Seca ZZE123R,Hatchback,Petrol,Manual,ascent seca,,,NO_MATCH
https://www.grays.com/lot/0001-21049301/motor-vehicles-motor-cycles/2004-toyota-corolla-ascent-zze122r-automatic-wagon,2004,TOYOTA,Corolla,Ascent ZZE122R,Wagon,Petrol,Automatic,ascent,,,NO_MATCH
https://www.grays.com/lot/0001-21048680/motor-vehicles-motor-cycles/2013-toyota-86-gts-zn6-automatic-coupe,2013,TOYOTA,86,GTS ZN6,Coupe,Petrol,Automatic,gts zn6,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049306/motor-vehicles-motor-cycles/2016-toyota-camry-atara-s-hybrid-avv50r-cvt-sedan,2016,TOYOTA,Camry,ATARA S HYBRID AVV50R,Sedan,Hybrid,CVT,atara s,,,NO_MATCH
https://www.grays.com/lot/0001-21049303/motor-vehicles-motor-cycles/1998-toyota-landcruiser-gxl-4x4-fzj105r-automatic-8-seats-wagon,1998,TOYOTA,Landcruiser,GXL (4x4) FZJ105R,Wagon,Petrol,Automatic,gxl 4x4,4x4,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049353/motor-vehicles-motor-cycles/2004-toyota-echo-ncp10r-automatic-hatchback,2004,TOYOTA,Echo,NCP10R,Hatchback,Petrol,Automatic,,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049397/motor-vehicles-motor-cycles/2004-toyota-corolla-ascent-seca-zze123r-automatic-hatchback,2004,TOYOTA,Corolla,Ascent Seca ZZE123R,Hatchback,Petrol,Automatic,ascent seca,,,NO_MATCH
https://www.grays.com/lot/0001-10348863/motor-vehicles-motor-cycles/2021-toyota-rav-4-awd-gx-hybrid-axah54r-cvt-wagon,2021,TOYOTA,Rav,4 AWD GX HYBRID AXAH54R,Wagon,Hybrid,CVT,awd gx,4x4,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049426/motor-vehicles-motor-cycles/2013-toyota-hilux-workmate-tgn16r-manual-cab-chassis,2013,TOYOTA,Hilux,Workmate TGN16R,Cab Chassis,Petrol,Manual,workmate,,,NO_MATCH
https://www.grays.com/lot/0001-10348818/motor-vehicles-motor-cycles/2012-toyota-hilux-sr-4x4-kun26r-turbo-diesel-manual-ute,2012,TOYOTA,Hilux,SR (4x4) KUN26R,Ute,Diesel,Manual,sr 4x4,4x4,,NO_MATCH
https://www.grays.com/lot/0001-9059957/motor-vehicles-motor-cycles/2019-toyota-yaris-ascent-ncp130r-automatic-hatchback,2019,TOYOTA,Yaris,Ascent NCP130R,Hatchback,Petrol,Automatic,ascent,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-9059945/motor-vehicles-motor-cycles/2006-toyota-yaris-yrs-ncp91r-automatic-hatchback,2006,TOYOTA,Yaris,YRS NCP91R,Hatchback,Petrol,Automatic,yrs,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049447/motor-vehicles-motor-cycles/2006-toyota-hiace-commuter-trh223r-automatic-12-seats-bus,2006,TOYOTA,Hiace,Commuter TRH223R,Bus,Petrol,Automatic,commuter,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-50515401/motor-vehicles-motor-cycles/2008-toyota-hilux-sr5-4x4-kun26r-turbo-diesel-automatic-dual-cab,2008,TOYOTA,Hilux,SR5 (4x4) KUN26R Dual,Dual Cab,Diesel,Automatic,sr5 4x4,4x4,,NO_MATCH
https://www.grays.com/lot/0001-9059961/motor-vehicles-motor-cycles/2007-toyota-hilux-sr-4x4-kun26r-turbo-diesel-manual-ute,2007,TOYOTA,Hilux,SR (4x4) KUN26R,Ute,Diesel,Manual,sr 4x4,4x4,,NO_MATCH
https://www.grays.com/lot/0001-9059962/motor-vehicles-motor-cycles/2000-toyota-camry-csi-mcv20r-automatic-sedan,2000,TOYOTA,Camry,CSI MCV20R,Sedan,Petrol,Automatic,csi,,,NO_MATCH
https://www.grays.com/lot/0001-9059873/motor-vehicles-motor-cycles/1998-toyota-corolla-csi-seca-ae101-manual-hatchback,1998,TOYOTA,Corolla,CSI Seca AE101,Hatchback,Petrol,Manual,csi seca,,,NO_MATCH
https://www.grays.com/lot/0001-9059972/motor-vehicles-motor-cycles/1999-toyota-landcruiser-gxl-diesel-hzj105r-manual-7-seats-wagon,1999,TOYOTA,Landcruiser,GXL HZJ105R,Wagon,Diesel,Manual,gxl,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049538/motor-vehicles-motor-cycles/2008-toyota-yaris-yr-ncp90r-manual-hatchback,2008,TOYOTA,Yaris,YR NCP90R,Hatchback,Petrol,Manual,yr,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049608/motor-vehicles-motor-cycles/2006-toyota-yaris-yr-ncp90r-manual-hatchback,2006,TOYOTA,Yaris,YR NCP90R,Hatchback,Petrol,Manual,yr,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049591/motor-vehicles-motor-cycles/2006-toyota-yaris-yrs-ncp91r-automatic-hatchback,2006,TOYOTA,Yaris,YRS NCP91R,Hatchback,Petrol,Automatic,yrs,,,OUT_OF_SCOPE_MODEL
https://www.grays.com/lot/0001-21049613/motor-vehicles-motor-cycles/2006-toyota-yaris-yrs-ncp91r-automatic-hatchback,2006,TOYOTA,Yaris,YRS NCP91R,Hatchback,Petrol,Automatic,yrs,,,OUT_OF_SCOPE_MODEL
